!
!Date: 01/05/2026
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
Dehydrodolichyl diphosphate synthase complex variant RER2	CPX-162	is active in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2024-10-17	Currie E, et al. (2014) PMID:24868093
Phosphatidylinositol transporter complex	CPX-2148	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	ComplexPortal	2014-10-16	Ren J, et al. (2014) PMID:24403601
Seipin complex	CPX-3342	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	ComplexPortal	2018-05-01	Wang CW, et al. (2014) PMID:24434579
LDS1	YAL018C	located in	GO:0005811	lipid droplet	cellular component		HDA	manually curated	SGD	2018-11-19	Lam C, et al. (2014) PMID:24390141
ATG8	YBL078C	is active in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2021-03-19	Maeda Y, et al. (2017) PMID:28003432
RER2	YBR002C	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2014-06-06	Currie E, et al. (2014) PMID:24868093
FAT1	YBR041W	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2014-06-06	Currie E, et al. (2014) PMID:24868093
FAT1	YBR041W	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2013-08-07	Athenstaedt K, et al. (1999) PMID:10515935
CST26	YBR042C	located in	GO:0005811	lipid droplet	cellular component		HDA	manually curated	SGD	2018-11-19	Huh WK, et al. (2003) PMID:14562095
ALG14	YBR070C	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2024-09-10	Hirata E, et al. (2024) PMID:39025454
EHT1	YBR177C	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2014-06-06	Currie E, et al. (2014) PMID:24868093
EHT1	YBR177C	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2013-08-07	Athenstaedt K, et al. (1999) PMID:10515935
LDH1	YBR204C	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2014-06-06	Currie E, et al. (2014) PMID:24868093
LDH1	YBR204C	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2013-08-07	Thoms S, et al. (2011) PMID:21478430
MTC4	YBR255W	located in	GO:0005811	lipid droplet	cellular component	existence overlaps cellular response to glucose stimulus	IDA	manually curated	SGD	2021-09-29	Yifrach E, et al. (2016) PMID:27663510
TSC10	YBR265W	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2014-06-06	Currie E, et al. (2014) PMID:24868093
LDB16	YCL005W	located in	GO:0005811	lipid droplet	cellular component		HDA	manually curated	SGD	2018-11-19	Huh WK, et al. (2003) PMID:14562095
SLC1	YDL052C	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2013-08-07	Athenstaedt K, et al. (1999) PMID:10515935
SLC1	YDL052C	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2014-06-06	Currie E, et al. (2014) PMID:24868093
CLB3	YDL155W	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2020-06-30	Örd M, et al. (2020) PMID:32553169
NUS1	YDL193W	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2013-08-07	Athenstaedt K, et al. (1999) PMID:10515935
NUS1	YDL193W	located in	GO:0005811	lipid droplet	cellular component		HDA	manually curated	SGD	2018-11-19	Lam C, et al. (2014) PMID:24390141
NUS1	YDL193W	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2014-06-06	Currie E, et al. (2014) PMID:24868093
NUS1	YDL193W	located in	GO:0005811	lipid droplet	cellular component		HDA	manually curated	SGD	2018-11-19	Hazbun TR, et al. (2003) PMID:14690591
CAB5	YDR196C	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2014-06-06	Currie E, et al. (2014) PMID:24868093
TLD1	YDR275W	is active in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2023-10-31	Speer NO, et al. (2024) PMID:37889293
TLD1	YDR275W	located in	GO:0005811	lipid droplet	cellular component		HDA	manually curated	SGD	2018-11-19	Huh WK, et al. (2003) PMID:14562095
ERG1	YGR175C	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2013-08-07	Leber R, et al. (1998) PMID:9450962
ERG1	YGR175C	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2014-06-06	Currie E, et al. (2014) PMID:24868093
TDH3	YGR192C	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2013-08-07	Athenstaedt K, et al. (1999) PMID:10515935
SAY1	YGR263C	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2014-06-06	Currie E, et al. (2014) PMID:24868093
NEM1	YHR004C	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2016-01-13	Wolinski H, et al. (2015) PMID:26275961
ERG7	YHR072W	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2013-08-07	Athenstaedt K, et al. (1999) PMID:10515935
ERG7	YHR072W	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2014-06-06	Currie E, et al. (2014) PMID:24868093
ERG7	YHR072W	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2013-08-07	Milla P, et al. (2002) PMID:11706015
AYR1	YIL124W	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2014-06-06	Currie E, et al. (2014) PMID:24868093
AYR1	YIL124W	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2013-08-07	Athenstaedt K and Daum G (2000) PMID:10617610
TDH1	YJL052W	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2013-08-07	Athenstaedt K, et al. (1999) PMID:10515935
TDH2	YJR009C	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2013-08-07	Athenstaedt K, et al. (1999) PMID:10515935
ANR2	YKL047W	located in	GO:0005811	lipid droplet	cellular component		IDA	manually curated	SGD	2014-06-06	Currie E, et al. (2014) PMID:24868093
