!
!Date: 01/21/2026
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
BLOC-1 complex	CPX-1153	located in	GO:0005768	endosome	cellular component		IDA	manually curated	ComplexPortal	2017-12-18	John Peter AT, et al. (2013) PMID:23547030
VPS55-VPS68 sorting complex	CPX-1413	is active in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2025-03-19	Schluter C, et al. (2008) PMID:18216282
ESCRT-I complex	CPX-940	is active in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2024-11-05	Chu T, et al. (2006) PMID:17145965
ESCRT-I complex	CPX-940	is active in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2024-11-05	Katzmann DJ, et al. (2001) PMID:11511343
SYN8	YAL014C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Lewis MJ and Pelham HR (2002) PMID:12453154
SNC1	YAL030W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Robinson M, et al. (2006) PMID:16452633
CCZ1	YBR131W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2014-11-06	Nordmann M, et al. (2010) PMID:20797862
RRT2	YBR246W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Shi Y, et al. (2011) PMID:21880895
COS2	YBR302C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2015-10-29	MacDonald C, et al. (2015) PMID:25942624
STP22	YCL008C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Katzmann DJ, et al. (2001) PMID:11511343
ERS1	YCR075C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Gao XD, et al. (2005) PMID:15885099
ATG20	YDL113C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Hettema EH, et al. (2003) PMID:12554655
GCS1	YDL226C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Robinson M, et al. (2006) PMID:16452633
COS7	YDL248W	located in	GO:0005768	endosome	cellular component		ISS with COS5	manually curated	SGD	2015-10-29	MacDonald C, et al. (2015) PMID:25942624
DOA4	YDR069C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Amerik A, et al. (2006) PMID:17145966
VPS41	YDR080W	located in	GO:0005768	endosome	cellular component		HDA	manually curated	SGD	2018-11-19	Huh WK, et al. (2003) PMID:14562095
TMS1	YDR105C	is active in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2024-10-03	Kölling R (2024) PMID:39271159
DOP1	YDR141C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Barbosa S, et al. (2010) PMID:20477991
ENT5	YDR153C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Eugster A, et al. (2004) PMID:15107463
SNX41	YDR425W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Hettema EH, et al. (2003) PMID:12554655
TLG1	YDR468C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Holthuis JC, et al. (1998) PMID:9427746
VPS3	YDR495C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2017-09-29	Balderhaar HJ, et al. (2013) PMID:23417307
AGE1	YDR524C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Benjamin JJ, et al. (2011) PMID:21135091
SIT1	YEL065W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Jeong MY, et al. (2009) PMID:19469713
YPT31	YER031C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Chen SH, et al. (2005) PMID:15537705
VFA1	YER128W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Arlt H, et al. (2011) PMID:21777356
HSP12	YFL014W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Welker S, et al. (2010) PMID:20797624
COS4	YFL062W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2015-10-29	MacDonald C, et al. (2015) PMID:25942624
ATG18	YFR021W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Krick R, et al. (2008) PMID:18769150
KXD1	YGL079W	located in	GO:0005768	endosome	cellular component		HDA	manually curated	SGD	2018-11-19	Huh WK, et al. (2003) PMID:14562095
MON1	YGL124C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2014-11-06	Nordmann M, et al. (2010) PMID:20797862
YPT32	YGL210W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Chen SH, et al. (2005) PMID:15537705
COS12	YGL263W	located in	GO:0005768	endosome	cellular component		ISS with COS5	manually curated	SGD	2015-10-29	MacDonald C, et al. (2015) PMID:25942624
PSD2	YGR170W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Gulshan K, et al. (2010) PMID:20016005
YPP1	YGR198W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Flower TR, et al. (2007) PMID:17576801
MVB12	YGR206W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Curtiss M, et al. (2007) PMID:17135292
MVB12	YGR206W	located in	GO:0005768	endosome	cellular component		HDA	manually curated	SGD	2018-11-19	Huh WK, et al. (2003) PMID:14562095
MVB12	YGR206W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Chu T, et al. (2006) PMID:17145965
HSV2	YGR223C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Krick R, et al. (2008) PMID:18769150
COS6	YGR295C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2015-10-29	MacDonald C, et al. (2015) PMID:25942624
HSE1	YHL002W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Bilodeau PS, et al. (2002) PMID:12055639
ARN1	YHL040C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Kim Y, et al. (2007) PMID:17344478
GPA1	YHR005C	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Slessareva JE, et al. (2006) PMID:16839886
VPS29	YHR012W	located in	GO:0005768	endosome	cellular component		IPI with VPS35	manually curated	SGD	2016-01-29	Seaman MN, et al. (1998) PMID:9700157
YPT35	YHR105W	located in	GO:0005768	endosome	cellular component		HDA	manually curated	SGD	2018-11-19	Huh WK, et al. (2003) PMID:14562095
NEO1	YIL048W	located in	GO:0005768	endosome	cellular component		IDA	manually curated	SGD	2013-08-07	Wicky S, et al. (2004) PMID:15314152
