run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
YJR144W,YGR111W,YDL194W,YKR096W,YKL033W,YHL032C,YPL066W,YKR058W,YNL185C,YAR023C
YMR212C,YER026C,YJL201W,YLR094C,YJL116C,YBR238C,YIL156W,YCR057C,YNR018W,YNL076W
YNL294C,YJR033C,YGR216C,YMR302C,YDR501W,YNL161W,YLR409C,YLR027C,YDR270W,YPL110C
YGL070C,YDR328C,YOR122C,YDR415C,YPR182W,YER053C,YKR006C,YBR149W,YBR299W,YHR086W
YER007C-A,YKL198C,YOR126C,YJR084W,YDR054C,YOR105W,YLR152C,YHL013C,YER134C,YKL044W
YNL190W,YAL042W,YDR430C,YPL177C,YDR262W,YGL155W,YDR138W,YBR162W-A,YKL104C,YDL019C
YPR169W,YPR009W,YLR420W,YJR041C,YGR255C,YLR274W,YDR363W,YNL035C,YMR295C,YKR010C
YIL152W,YGR009C,YPR025C,YGL248W,YKR061W,YJL080C,YBR119W,YHR176W,YDR152W,YNR015W
YHR028C,YOR227W,YML068W,YMR168C,YJR135W-A,YNL147W,YMR078C,YOR316C,YKR098C,YDR266C
YOR341W,YDR090C,YOL124C,YOR119C,YBR259W,YML123C,YOR035C,YGL021W,YNL305C,YMR143W
YCR073C,YIL157C,YOL154W,YPR194C,YNL246W,YHR017W,YDL098C,YDR169C,YCL052C,YOR047C
YJL210W,YML001W,YOR127W,YER112W,YGL141W,YBL018C,YDL019C,YCR079W,YBR080C,YOR059C
YDR001C,YNL305C,YGR200C,YMR236W,YPL282C,YOR017W,YDR338C,YGR058W,YOR140W,YHR031C
YNL289W,YDR505C,YPR108W,YOR140W,YKL064W,YER135C,YNL123W,YDL079C,YOR023C,YHR117W
YGL160W,YDL080C,YOR378W,YPL150W,YKR094C,YKL006W,YGL252C,YLR457C,YCR020C-A,YBR069C
YOR101W,YIL143C,YHL005C,YLR320W,YMR060C,YKL020C,YIR010W,YHL039W,YDR507C,YGL082W
YLR142W,YOR042W,YDL067C,YOL065C,YDL171C,YMR234W,YKL116C,YBL113C,YIL042C,YDR124W
YOR210W,YDR311W,YPR008W,YKL182W,YGL131C,YGR251W,YNL131W,YPL202C,YMR222C,YFL065C
YGR126W,YOL139C,YKL046C,YLR152C,YPL223C,YMR090W,YOR244W,YNL293W,YBR019C,YDR071C
YCL066W,YPR055W,YMR203W,YMR165C,YHR164C,YKL122C,YGL234W,YKL189W,YBR103W,YMR047C
Q0140,YER033C,YLL008W,YJR065C,YER129W,YOR004W,YPL081W,YPL262W,YIL062C,YOR020W-A
YNL250W,YKL087C,YNL064C,YGR241C,YNR063W,YGR081C,YJR052W,YML131W,YGL100W,YOL065C
YJR127C,YGL120C,YOR070C,YDR434W,YLR103C,YKR074W,YGR142W,YLR216C,YBR130C,YDL015C
