Accession,Gene,RNA.D0025,RNA.D005,RNA.D01,RNA.D015,RNA.D02,RNA.D025,RNA.D03,RNA.D035,RNA.D04,prot.D0025,prot.D005,prot.D01,prot.D015,prot.D02,prot.D025,prot.D03,prot.D035,prot.D04,XIA.cluster
A5Z2X5,YPR010C-A,4.90864062,4.688690213,5.343634874,5.851431608,7.260453935,11.07710268,15.93795616,19.26312476,27.70120744,1912.720448,2308.956373,2401.647604,2858.907466,3366.087205,3306.073496,3423.69559,3039.14266,2699.477914,2
O13297,CET1,0.306636392,0.283904448,0.296280979,0.314273496,0.369732562,0.453274187,0.612314076,0.648369708,0.690808468,44.69512608,45.42940246,49.25550456,55.85124858,52.26439944,54.77664327,48.61017099,45.62392816,43.71292224,2
O13516,RPS9A,1.278639779,1.787272537,1.328092049,1.710772465,2.189637996,3.063977334,3.755014252,4.547808701,4.775181006,306.8060874,311.511324,296.3299253,366.392726,397.7223494,414.5007213,421.2820836,421.9218879,384.385069,2
O14455,RPL36B,2.76319374,3.915882415,4.13246945,5.211711522,6.400783989,9.552697733,10.41647167,15.11968843,17.3981716,5703.180347,6341.602111,8107.488812,9978.930861,11524.07373,12280.24315,13473.55557,13808.92805,14688.96669,2
O14467,MBF1,4.038189676,3.713205761,3.219033147,2.777570507,2.272846093,2.454794102,3.280151903,4.390852493,6.15878786,3685.241829,3431.528006,2926.834204,3025.626018,2850.572399,2644.249462,2672.752898,2914.719909,3170.821487,2
O43137,YBR085C-A,7.00267898,7.009991468,6.072866845,4.202811018,2.232813306,1.954816139,3.341077758,2.763861427,2.927978615,444.7231503,437.1114517,380.755589,319.2489391,232.8687369,208.5307296,235.6665329,204.0033267,157.315487,1
O74700,TIM9,1.274631609,1.311500643,1.602160895,1.921446305,2.128192213,3.494900621,5.249219139,7.637028791,13.14308456,280.6932561,318.8977086,449.7928472,581.9440224,645.3875327,741.0393385,883.3476119,871.9339938,881.2811108,2
O75012,MRP10,1.240519112,0.962844556,0.832201255,1.055472781,1.407870623,1.991238951,3.167611846,4.116846209,4.545425769,64.74970395,83.43521181,136.0775546,192.0820649,227.3826474,282.3529596,334.2492262,343.2980561,321.6868688,2
O94742,SEM1,2.838373103,2.570621081,2.434505093,2.38909678,2.401256034,2.958332115,4.542987728,4.335988785,6.356205454,NA,NA,NA,28.43783552,NA,NA,NA,NA,NA,2
P00044,CYC1,1.614033761,2.391303355,3.644447957,5.733722705,10.6130622,17.78078457,27.89552126,36.39698037,42.0583091,2022.616433,2376.265316,3385.752021,4872.985976,6259.7448,7685.840666,9776.744998,9609.168395,8205.599824,2
P00045,CYC7,1.253943638,0.612013645,0.539254026,0.48397382,0.268799451,0.241079057,0.240903378,0.363984792,0.475922089,132.6213591,115.5871691,77.5075649,69.93655447,NA,NA,NA,NA,NA,1
P00127,QCR6,2.602528031,3.036163898,3.721709859,4.435763637,6.612871556,9.3838759,15.65212235,15.78458058,16.96922326,640.0598429,870.3238033,1069.019196,1401.537391,1538.556699,1598.604648,1696.05671,1583.441497,1321.112409,2
P00128,QCR7,3.818473943,3.799452411,3.95462517,4.72213078,5.841054196,8.345413156,11.08778966,13.68802944,15.74478394,2708.263192,3217.358064,3853.922265,4783.995729,5404.143716,5709.628209,5954.749126,5471.457068,5062.364419,2
P00175,CYB2,1.202011563,1.970692453,1.774353336,1.935097332,3.091847566,4.264928148,6.202153477,5.11130282,4.827748481,1698.547236,2185.433316,2183.928827,2590.425018,3108.025433,3310.504521,2990.422879,2079.458601,1704.30105,2
P00358,TDH2,2.745008356,4.243700992,3.509623558,3.085181204,1.980870023,1.802792707,2.311307631,3.775273246,5.151982788,3309.005319,3436.006323,2332.665003,1804.456837,1275.593695,996.0670294,1524.069318,1686.915551,1754.550282,1
P00359,TDH3,16.97822161,26.36651968,20.96800726,17.68205664,11.56297748,11.71707652,12.02157387,16.33424812,20.89078821,37865.82897,38552.09753,29676.45106,28870.918,24026.6107,22723.55615,24155.32518,24076.36544,24690.6894,1
P00360,TDH1,2.220070056,4.25920498,4.178197687,3.51815696,1.294133259,0.434442345,0.445137515,0.459766505,0.374383711,5072.642388,6587.031963,4418.21688,3621.765525,1654.670863,638.6854076,576.2657779,390.6968522,233.686614,1
P00424,COX5A,2.458598315,2.33237542,2.744768503,3.231775845,4.502917029,6.32212784,9.255315242,10.2621473,12.23419354,1699.100348,1985.266299,2044.644708,2379.354106,2570.813569,2635.645996,2770.948419,2659.193825,2325.103841,2
P00427,COX6,2.331117786,2.226740288,2.261105556,2.93593026,3.95146303,6.032169612,7.490904776,9.42507708,9.301970401,2284.862815,2503.813967,2981.42777,3465.78439,3968.161008,4381.033169,4491.570893,4167.277055,3727.99029,2
P00431,CCP1,1.155964718,1.016970524,0.907914642,0.923640054,1.024287393,1.111041537,1.538152313,1.176916143,1.315294178,331.1340814,339.3499543,311.1104776,360.8888663,373.5769507,347.5790084,292.5873249,231.7823585,207.1988761,2
P00445,SOD1,3.848641571,5.917422281,5.968983902,5.758644646,4.913648561,5.792794316,7.663928101,10.98591284,12.31518829,6550.00054,7480.28985,6625.532189,6799.837641,6435.448681,6576.489648,7891.791156,8229.080493,7617.193435,2
P00447,SOD2,2.522829542,3.617387097,3.58491552,3.299109411,2.944780598,3.125071804,4.749342532,6.180953429,6.243366454,3664.551074,3475.522975,2797.915123,2825.350495,2481.104839,2371.946245,2773.162943,2804.537949,2408.094922,2
P00498,HIS1,0.965629546,1.13019035,1.566728403,1.829731953,1.824193788,2.138244461,2.956154206,4.052742512,5.972469922,598.8036641,908.396756,1346.515835,1511.977248,1384.523271,1188.740264,1179.528462,1318.369072,1515.584732,2
P00546,CDC28,0.52157393,0.541091581,0.472025252,0.494777053,0.601219775,0.715192747,0.895278,0.929759463,1.097726725,237.0351365,234.030822,260.526703,284.5264667,312.3283092,289.6308837,251.774166,225.5922112,246.8506145,2
P00549,CDC19,3.927569618,6.195259597,5.547339945,4.564386957,2.961004575,2.583604331,3.112035401,3.549577857,5.412126124,7611.206614,8007.31413,7075.604429,7076.067213,5891.443957,5483.994373,5746.504115,5444.547527,6264.486949,1
P00560,PGK1,6.304525928,10.6875777,8.350893776,7.241179858,4.143530515,3.685388918,3.684267533,4.866896824,5.421705369,23675.9133,24492.33204,17061.60262,15804.08144,12237.8009,10624.89828,11863.44635,10619.98729,10081.08121,1
P00724,SUC2,2.35369402,2.407005663,1.354995287,1.392340047,1.764058094,1.964394172,2.74662605,3.105188518,3.755412028,2025.296609,1241.135554,629.6653192,652.0899698,654.3129517,528.6795075,536.9682361,420.6332146,425.6601925,2
P00729,PRC1,2.015631919,2.528332222,2.621459921,2.44590134,1.931356147,1.625914894,1.87269946,1.924711878,2.016725686,1095.780439,1000.096441,769.9256111,NA,NA,NA,306.4749494,NA,NA,1
P00812,CAR1,0.25649829,0.308787124,0.30730398,0.284714836,0.272185201,0.263325401,0.361682323,0.380062619,0.484586715,113.3102149,120.1764811,107.9380803,99.49928653,71.60779605,59.48493918,73.8477365,67.64762309,59.98820011,2
P00815,HIS4,0.396607112,0.64582729,1.176311256,1.375211073,1.353802833,1.469197507,1.809671497,3.04279673,3.80323487,949.2480772,1428.109431,1988.335702,2205.062314,1995.066513,1724.118941,1966.210831,2352.401829,2597.832003,2
P00817,IPP1,2.049723061,3.266786594,3.327743284,3.537974495,3.943286792,4.796599175,6.245149157,6.966669142,8.337317163,3671.199827,4188.201037,4585.225702,5207.002852,5448.549968,5485.195555,5627.215777,5531.103987,5325.768578,2
P00830,ATP2,1.668821003,2.676161886,3.337866075,4.111050508,6.130625127,8.183887583,11.1055093,12.67417692,13.25776017,6774.736069,8958.134756,11250.14108,14635.23023,15165.74159,16825.82625,16746.39488,15157.51251,13121.56835,2
P00890,CIT1,2.134090798,2.320918151,2.205762783,2.788714619,4.559310612,7.354417395,11.18184772,11.97622429,10.41796251,3562.383598,3862.045668,4202.353835,5240.373937,6524.998546,8035.907266,9960.12241,7710.456032,5762.906732,2
P00899,TRP2,0.299433465,0.555502072,0.782096423,0.9081067,0.898182698,0.982716041,1.189513642,1.436480338,1.79972026,424.6795401,572.982719,920.0228984,996.7841722,962.5549121,836.4436053,796.8295508,808.8615781,851.2939738,2
P00912,TRP1,1.018409671,0.666689159,0.596370508,0.696938389,0.841276625,1.198329739,1.513208138,1.522153342,1.826573214,NA,61.72240135,81.32607014,NA,NA,NA,NA,96.27828271,NA,2
P00924,ENO1,4.586694799,7.304064722,5.872170375,4.665007633,1.82353379,0.814762607,0.810185644,1.231741055,1.399407943,22311.37495,23265.99383,14666.24125,11613.85528,5553.942664,2554.687391,2870.235899,2875.602793,2550.869573,1
P00927,ILV1,0.491674585,0.689267627,0.913486316,0.999466467,1.087703018,1.09939113,1.41510426,1.628664173,2.074190636,426.0344887,541.1335249,697.8067867,780.0828947,749.4705039,682.0073645,666.6677373,685.3780519,724.9716522,2
P00931,TRP5,0.467749366,0.669701159,0.91149379,0.999845141,0.963678845,1.014865495,1.10246977,1.504915649,1.783283277,1025.638809,1436.658384,1988.748144,2165.344049,2045.924328,1744.854631,1643.306645,1822.152919,1974.824385,2
P00937,TRP3,0.251529712,0.389814511,0.652232397,0.786761984,0.732263882,0.82692667,1.07426997,1.184959952,1.447032801,254.5088319,359.2164589,573.8290471,655.9514756,605.047329,504.221401,491.9266383,461.5330869,488.1043696,2
P00942,TPI1,4.041591078,6.430349011,5.227775035,5.312034959,4.563713899,5.73014222,5.750543523,8.176166048,9.288417317,11974.82471,12070.28325,10374.87428,10849.77225,10438.58728,10395.03264,11417.32514,11137.88325,11176.24896,2
P00950,GPM1,7.870366859,13.13769518,11.09509276,9.078377419,5.175077633,4.787928295,5.485804963,6.991702336,9.292793556,18138.36745,20393.4181,15084.97609,13856.95452,9799.191925,8383.815193,8996.213185,7822.80837,8537.657347,1
P00958,MES1,0.26014388,0.375644008,0.456720709,0.616868208,0.789765919,1.138785556,1.344342087,1.85289039,2.260488488,164.5530392,188.0868983,261.2401931,317.8475329,366.3385042,379.2413157,390.7880256,426.1364296,489.9656213,2
P01094,PAI3,5.95348153,7.078936029,4.867768705,3.146307713,0.999507534,0.296499483,0.43261528,0.333048422,0.310968777,111.4673153,101.2301923,NA,36.42702628,NA,NA,NA,NA,NA,1
P01097,INH1,3.016072933,3.253431563,2.883310388,3.326193479,4.005703261,5.588010257,7.723142843,8.357221455,8.68572265,1449.321452,1704.543265,1890.193598,2278.773371,2596.925028,2655.711959,2489.026785,2013.670686,1670.915705,2
P01098,STF1,4.742040145,4.642053017,3.503067112,3.334755381,3.056443826,3.653094584,6.029316358,5.28572522,4.836749514,997.367947,892.0603915,777.3313486,806.1181512,806.4540931,770.1202938,809.2592305,592.6352306,452.3432557,2
P01119,RAS1,0.262039432,0.395434648,0.360673549,0.414976684,0.490558293,0.68351461,0.876342113,0.966802489,1.554677506,31.50853833,NA,NA,NA,NA,NA,NA,30.72890118,NA,2
P01120,RAS2,0.573019442,0.672883032,0.865799482,0.883033485,0.970976054,1.179280924,1.55753063,1.697712873,2.046970443,459.1255361,483.8032044,533.3108206,561.8767656,558.1653631,525.8738702,420.4016077,393.8568789,374.4116623,2
P01123,YPT1,2.71678132,2.435539453,2.253961201,2.365674076,2.551873467,3.094375575,3.594323521,3.907342544,4.633135041,1053.628029,1326.637705,1535.164445,1788.878383,1813.553502,1753.669575,1673.230923,1420.989337,1379.714596,2
P02400,RPP2B,2.829902447,4.147047279,4.523376113,5.236696835,7.502420183,10.291242,10.94666752,15.38617319,19.15660955,2440.775859,2815.046786,3689.692909,4950.979985,5378.516081,5802.461488,5930.791645,6199.332309,6644.051088,2
P02406,RPL28,3.707627395,5.478876688,5.802862949,7.184386845,8.39803501,12.32114108,11.67595461,17.5595946,23.22137048,2680.236453,3135.636131,3849.277122,4623.330839,5418.778341,5782.604879,5844.089053,5978.399093,6305.259527,2
P02557,TUB2,0.619228133,0.905580225,1.101285168,1.267760702,1.68251119,2.045498355,2.326428954,2.632499317,2.96979365,1219.116151,1286.510582,1327.27096,1566.702267,1716.314712,1643.645476,1562.034341,1344.470183,1285.994843,2
P02829,HSP82,3.24466497,3.93992478,2.92680008,2.344382954,1.40237767,1.202790164,1.615185502,2.074550063,2.216517159,2017.198986,1671.428262,1074.040918,958.3828242,749.7964614,668.1572863,728.7578233,670.482817,669.7778928,1
P02992,TUF1,1.197936433,1.202408338,1.536237927,1.877821133,2.639375463,3.547752349,5.570627132,7.342636119,8.876395569,644.6177578,860.3346025,1442.94959,1774.823528,2036.93243,2369.767795,2691.528389,2722.129617,2604.631544,2
P02994,TEF1,15.13912879,19.92179071,18.62329786,19.33859524,20.55086597,25.7616247,27.8677259,32.88423563,38.78607115,21067.47087,21904.80526,25811.90093,30313.28377,32909.31294,35246.01157,35960.04094,33470.51809,33736.97145,2
P03874,CBP2,0.194213135,0.212653548,0.235946202,0.281702151,0.399693672,0.552617784,0.877084636,0.984132409,1.099501977,29.27041739,31.8822922,50.38984553,52.177322,NA,69.23631087,76.79159753,64.90321053,70.10893577,2
P03962,URA3,0.372055289,0.50610909,0.596397055,0.679355456,0.817390056,1.097396314,1.479817526,1.808782417,2.194964476,171.6996056,197.7486372,228.8744618,273.924249,332.8888526,309.5899243,306.129027,305.3682968,304.1975518,2
P03965,CPA2,0.407628079,0.615806786,1.042341601,1.104129447,0.838029898,0.720861229,0.87646673,1.097590742,1.400817252,894.0768893,1449.090742,2001.08207,1883.507097,1461.690083,969.017672,912.4955462,962.3782086,1052.0907,2
P04037,COX4,1.653540522,2.26250149,2.3528358,2.614543737,3.359907623,4.749965924,5.616048168,7.292121943,7.619077283,765.5395087,884.1993299,906.2249391,993.6999824,1116.39664,1156.054074,1219.872069,1089.019858,923.6339197,2
P04046,ADE4,0.423823184,0.539466946,0.661586097,0.872758128,1.218827072,1.56243099,2.078440941,2.736965195,3.290362257,422.2231881,559.0233605,794.7546743,1028.922654,1157.725984,1274.938428,1355.837896,1282.425346,1356.091888,2
P04050,RPO21,0.550994066,0.409720466,0.447089234,0.476199683,0.641164325,0.718846049,0.823385634,1.267965962,1.455060075,175.8167814,198.2922517,247.4741022,275.3567156,295.7957443,280.2342206,289.934649,271.1001913,275.3966616,2
P04051,RPO31,0.310048376,0.210140486,0.225326219,0.267018895,0.352534693,0.418359571,0.475496504,0.669176175,0.808527694,23.08392893,24.67022588,30.99338969,41.23253123,41.35678557,40.71468214,48.45054956,41.84047058,47.78775522,2
